,Product_Name,Discounted_price,Description
0,Redmi 7A,5499,"Matte Blue, 2GB RAM, 32GB Storage"
1,Vivo U10,10990,"Thunder Black, 5000 mAH 18W Fast Charge Battery, 4GB RAM, 64GB Storage"
2,Redmi 7A,4999,"Matte Black, 2GB RAM, 16GB Storage"
3,10.or Crafted for Amazon G2,7999,"Twilight Blue, 4GB RAM, 64GB Storage"
4,Redmi 7A,4999,"Matte Blue, 2GB RAM, 16GB Storage"
5,OPPO A7,12990,"Glaring Gold, 3GB RAM, 64GB Storage"
6,Nokia 4.2,6718,"Black, 3GB RAM, 32GB Storage"
7,Redmi Y3,7999,"Prime Black, 3GB RAM, 32MP Selfie Camera, 32GB Storage, 4000mAH Battery"
8,Apple iPhone 11,64900,64GB - White
9,OPPO F11,13990,"Marble Green, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers"
10,Redmi Note 8 Pro,15999,"Electric Blue, 6GB RAM, 128GB Storage with Helio G90T Processor - Upto 6 Months No Cost EMI"
11,OPPO A9,11990,"Marble Green, 4GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers"
12,Apple iPhone XR,49900,128GB - Black
13,Apple iPhone XR,47900,64GB - White
14,SanDisk 64GB Class 10 microSDXC Memory Card with Adapter,739,SDSQUAR-064G-GN6MA
15,Samsung EVO Plus 32GB microSDHC UHS-I U1 95MB/s Full HD Memory Card with Adapter,419,MB-MC32GA
