,Restaurant Name,Rating,Delivery Time (min),Price For Two (INR)
0,Standard Corner,4.4,31 ,100
1,Saravana Bhavan,4.4,25 ,550
2,Bangla Foods,4.3,27 ,250
3,Odeon Sweets,4.3,27 ,150
4,Brioche Doree,4.3,26 ,400
5,Starbucks Coffee,4.3,24 ,400
6,Canteen Central by Zippy,4.3,27 ,200
7,Gopal Sweets Corner,4.2,34 ,200
8,Hira Sweets,4.2,38 ,350
9,sharma ji paratha wala delhi 6,4.2,35 ,99
10,Flavour Of Southvala Pvt Ltd,4.2,31 ,300
11,South Indian Cafe,4.2,31 ,200
12,Bhimsain's Bengali Sweet House,4.2,28 ,400
13,Radhey Shyam Subhash Kumar Special Chole Bhature,4.2,26 ,150
14,GoGourmet,4.2,25 ,200
15,Keventers-The Original Milkshake,4.2,27 ,200
